County,Population,OnSale_Ratio,OffSale_Ratio,CTract,Map_tracts,Ctract_Pop,OnSale_actual,OffSale_actual,OnSale_auth,OffSale_auth,excess_offsale,excess_onsale
SAN FRANCISCO,845602,275,1060,101,10100,3739,13,3,49,13,10,36
SAN FRANCISCO,845602,275,1060,102,10200,4143,15,3,17,5,2,2
SAN FRANCISCO,845602,275,1060,103,10300,3852,14,3,6,0,-3,-8
SAN FRANCISCO,845602,275,1060,104,10400,4545,16,4,2,5,1,-14
SAN FRANCISCO,845602,275,1060,105,10500,2685,9,2,48,5,3,39
SAN FRANCISCO,845602,275,1060,105,10500,2685,9,2,10,4,2,1
SAN FRANCISCO,845602,275,1060,106,10600,3894,14,3,76,8,5,62
SAN FRANCISCO,845602,275,1060,107,10700,5592,20,5,73,10,5,53
SAN FRANCISCO,845602,275,1060,108,10800,4578,16,4,3,3,-1,-13
SAN FRANCISCO,845602,275,1060,109,10900,4320,15,4,38,7,3,23
SAN FRANCISCO,845602,275,1060,110,11000,4827,17,4,25,6,2,8
SAN FRANCISCO,845602,275,1060,111,11100,5164,18,4,38,10,6,20
SAN FRANCISCO,845602,275,1060,112,11200,3286,11,3,6,4,1,-5
SAN FRANCISCO,845602,275,1060,113,11300,3143,11,2,2,4,2,-9
SAN FRANCISCO,845602,275,1060,117,11700,1783,6,1,103,17,16,97
SAN FRANCISCO,845602,275,1060,118,11800,1500,5,1,12,0,-1,7
SAN FRANCISCO,845602,275,1060,119.01,11901,2408,8,2,5,1,-1,-3
SAN FRANCISCO,845602,275,1060,119.02,11902,2598,9,2,8,5,3,-1
SAN FRANCISCO,845602,275,1060,120,12000,3833,13,3,25,5,2,12
SAN FRANCISCO,845602,275,1060,121,12100,3833,13,3,46,10,7,33
SAN FRANCISCO,845602,275,1060,122.01,12201,4567,16,4,20,4,0,4
SAN FRANCISCO,845602,275,1060,122.02,12202,2986,10,2,13,4,2,3
SAN FRANCISCO,845602,275,1060,123.01,12301,2734,9,2,25,9,7,16
SAN FRANCISCO,845602,275,1060,123.02,12302,3073,11,2,39,6,4,28
SAN FRANCISCO,845602,275,1060,124.01,12401,5075,18,4,15,7,3,-3
SAN FRANCISCO,845602,275,1060,124.02,12402,3974,14,3,26,2,-1,12
SAN FRANCISCO,845602,275,1060,125.01,12501,5335,19,5,22,6,1,3
SAN FRANCISCO,845602,275,1060,125.02,12502,3821,13,3,4,5,2,-9
SAN FRANCISCO,845602,275,1060,126.01,12601,2329,8,2,9,1,-1,1
SAN FRANCISCO,845602,275,1060,126.02,12602,2909,10,2,2,1,-1,-8
SAN FRANCISCO,845602,275,1060,127,12700,3492,12,3,2,2,-1,-10
SAN FRANCISCO,845602,275,1060,128,12800,4106,14,3,62,9,6,48
SAN FRANCISCO,845602,275,1060,129.01,12901,2557,9,2,6,3,1,-3
SAN FRANCISCO,845602,275,1060,129.02,12902,3376,12,3,15,6,3,3
SAN FRANCISCO,845602,275,1060,130,13000,4044,14,3,30,9,6,16
SAN FRANCISCO,845602,275,1060,131.01,13101,3811,13,3,2,1,-2,-11
SAN FRANCISCO,845602,275,1060,131.02,13102,2625,9,2,1,0,-2,-8
SAN FRANCISCO,845602,275,1060,132,13200,4162,15,3,1,1,-2,-14
SAN FRANCISCO,845602,275,1060,133,13300,4232,15,3,9,2,-1,-6
SAN FRANCISCO,845602,275,1060,134,13400,3599,13,3,3,2,-1,-10
SAN FRANCISCO,845602,275,1060,135,13500,2556,9,2,11,5,3,2
SAN FRANCISCO,845602,275,1060,151,15100,2493,9,2,15,5,3,6
SAN FRANCISCO,845602,275,1060,152,15200,3934,14,3,22,5,2,8
SAN FRANCISCO,845602,275,1060,153,15300,2040,7,1,17,2,1,10
SAN FRANCISCO,845602,275,1060,154,15400,5621,20,5,13,7,2,-7
SAN FRANCISCO,845602,275,1060,155,15500,3622,13,3,53,6,3,40
SAN FRANCISCO,845602,275,1060,156,15600,2728,9,2,9,2,0,0
SAN FRANCISCO,845602,275,1060,157,15700,7832,28,7,7,5,-2,-21
SAN FRANCISCO,845602,275,1060,158.01,15801,3594,13,3,0,1,-2,-13
SAN FRANCISCO,845602,275,1060,158.02,15802,2965,10,2,9,4,2,-1
SAN FRANCISCO,845602,275,1060,159,15900,4350,15,4,19,4,0,4
SAN FRANCISCO,845602,275,1060,160,16000,2465,8,2,4,4,2,-4
SAN FRANCISCO,845602,275,1060,161,16100,5366,19,5,0,2,-3,-19
SAN FRANCISCO,845602,275,1060,162,16200,2541,9,2,43,6,4,34
SAN FRANCISCO,845602,275,1060,163,16300,4293,15,4,7,5,1,-8
SAN FRANCISCO,845602,275,1060,164,16400,3778,13,3,19,7,4,6
SAN FRANCISCO,845602,275,1060,165,16500,5083,18,4,5,6,2,-13
SAN FRANCISCO,845602,275,1060,166,16600,5069,18,4,25,8,4,7
SAN FRANCISCO,845602,275,1060,167,16700,4652,16,4,13,6,2,-3
SAN FRANCISCO,845602,275,1060,168.01,16801,3218,11,3,30,5,2,19
SAN FRANCISCO,845602,275,1060,168.02,16802,3264,11,3,16,3,0,5
SAN FRANCISCO,845602,275,1060,169,16900,2924,10,2,22,6,4,12
SAN FRANCISCO,845602,275,1060,170,17000,3689,13,3,0,0,-3,-13
SAN FRANCISCO,845602,275,1060,171.01,17101,3544,12,3,0,1,-2,-12
SAN FRANCISCO,845602,275,1060,171.02,17102,3451,12,3,14,3,0,2
SAN FRANCISCO,845602,275,1060,176.01,17601,7630,27,7,69,8,1,42
SAN FRANCISCO,845602,275,1060,177,17700,2128,7,2,40,8,6,33
SAN FRANCISCO,845602,275,1060,178.01,17801,3499,12,3,20,4,1,8
SAN FRANCISCO,845602,275,1060,178.02,17802,4516,16,4,33,8,4,17
SAN FRANCISCO,845602,275,1060,179.02,17902,2880,10,2,2,1,-1,-8
SAN FRANCISCO,845602,275,1060,180,18000,4221,15,3,41,10,7,26
SAN FRANCISCO,845602,275,1060,201,20100,6172,22,5,37,7,2,15
SAN FRANCISCO,845602,275,1060,202,20200,6269,22,5,40,12,7,18
SAN FRANCISCO,845602,275,1060,203,20300,3034,11,2,30,8,6,19
SAN FRANCISCO,845602,275,1060,204.01,20401,2846,10,2,0,1,-1,-10
SAN FRANCISCO,845602,275,1060,204.02,20402,3997,14,3,0,0,-3,-14
SAN FRANCISCO,845602,275,1060,205,20500,2583,9,2,25,7,5,16
SAN FRANCISCO,845602,275,1060,206,20600,4711,17,4,21,4,0,4
SAN FRANCISCO,845602,275,1060,207,20700,5171,18,4,21,9,5,3
SAN FRANCISCO,845602,275,1060,208,20800,6577,23,6,63,10,4,40
SAN FRANCISCO,845602,275,1060,209,20900,4372,15,4,45,9,5,30
SAN FRANCISCO,845602,275,1060,210,21000,4196,15,3,14,6,3,-1
SAN FRANCISCO,845602,275,1060,211,21100,3853,14,3,7,4,1,-7
SAN FRANCISCO,845602,275,1060,212,21200,2779,10,2,4,2,0,-6
SAN FRANCISCO,845602,275,1060,213,21300,2474,8,2,6,1,-1,-2
SAN FRANCISCO,845602,275,1060,214,21400,3264,11,3,13,7,4,2
SAN FRANCISCO,845602,275,1060,215,21500,5096,18,4,14,4,0,-4
SAN FRANCISCO,845602,275,1060,216,21600,3836,13,3,1,0,-3,-12
SAN FRANCISCO,845602,275,1060,217,21700,3948,14,3,2,2,-1,-12
SAN FRANCISCO,845602,275,1060,218,21800,3840,13,3,10,5,2,-3
SAN FRANCISCO,845602,275,1060,226,22600,1534,5,1,23,5,4,18
SAN FRANCISCO,845602,275,1060,227.02,22702,2060,7,1,15,4,3,8
SAN FRANCISCO,845602,275,1060,227.04,22704,3122,11,2,2,2,0,-9
SAN FRANCISCO,845602,275,1060,228.01,22801,5078,18,4,26,9,5,8
SAN FRANCISCO,845602,275,1060,228.02,22802,2099,7,1,3,0,-1,-4
SAN FRANCISCO,845602,275,1060,228.03,22803,4595,16,4,6,4,0,-10
SAN FRANCISCO,845602,275,1060,229.01,22901,4640,16,4,10,6,2,-6
SAN FRANCISCO,845602,275,1060,229.02,22902,2617,9,2,9,4,2,0
SAN FRANCISCO,845602,275,1060,229.03,22903,3384,12,3,11,6,3,-1
