"","Census_tra","License_Ty","n_stores"
"1",12501,41,10
"2",11200,41,3
"3",20300,47,6
"4",20800,47,18
"5",123364,79,4
"6",20300,79,1
"7",10500,47,30
"8",17802,41,11
"9",20800,41,36
"10",17802,47,10
"11",17700,48,8
"12",17700,41,18
"13",17700,47,13
"14",20200,48,8
"15",16900,48,4
"16",16900,41,13
"17",20200,41,22
"18",20100,41,24
"19",20100,48,7
"20",20200,47,9
"21",20200,40,1
"22",20100,47,5
"23",60700,40,1
"24",16900,47,5
"25",20300,41,21
"26",22704,41,2
"27",22702,41,10
"28",22702,47,3
"29",60700,47,16
"30",22702,48,2
"31",22702,42,1
"32",20700,41,15
"33",22801,41,12
"34",20700,47,5
"35",20500,48,5
"36",20600,48,5
"37",20500,41,15
"38",20600,47,4
"39",20401,41,1
"40",20600,41,9
"41",20500,86,1
"42",42602,47,1
"43",20800,48,6
"44",22801,48,2
"45",20500,42,2
"46",61500,41,50
"47",61500,48,12
"48",61500,47,59
"49",33201,47,3
"50",22600,48,3
"51",22600,41,8
"52",22801,47,5
"53",22801,42,1
"54",20900,41,25
"55",20900,48,8
"56",20900,47,7
"57",20700,48,2
"58",42601,41,18
"59",22903,41,9
"60",22901,41,8
"61",22902,41,8
"62",21000,41,13
"63",22903,48,2
"64",22901,48,1
"65",22901,47,1
"66",22903,64,1
"67",21200,41,5
"68",21400,41,11
"69",21100,41,4
"70",21300,41,5
"71",21100,48,3
"72",21400,47,1
"73",21400,42,1
"74",22902,47,1
"75",25300,41,26
"76",25300,48,9
"77",25300,47,6
"78",61500,42,1
"79",61500,75,2
"80",10500,54,3
"81",21800,41,6
"82",42700,86,1
"83",10700,54,17
"84",10100,54,12
"85",10100,47,27
"86",NA,47,2
"87",10700,56,1
"88",10100,62,2
"89",10100,56,1
"90",10700,41,35
"91",10700,47,30
"92",35100,47,1
"93",10700,42,2
"94",18000,47,18
"95",60700,41,15
"96",22600,47,4
"97",17801,41,6
"98",18000,41,18
"99",980900,48,2
"100",23200,48,1
"101",23003,41,1
"102",980900,41,5
"103",61200,41,3
"104",23300,41,4
"105",60700,45,1
