County Name ,County Population ,County Ratio On Sale ,County Ratio Off Sale ,Census Tract # ,Census Tract Population ,On Sale ,Off Sale 
SAN FRANCISCO ,836620,286,1026,101,3739,13,3
SAN FRANCISCO ,836620,286,1026,102,4143,14,4
SAN FRANCISCO ,836620,286,1026,103,3852,13,3
SAN FRANCISCO ,836620,286,1026,104,4545,15,4
SAN FRANCISCO ,836620,286,1026,105,2685,9,2
SAN FRANCISCO ,836620,286,1026,106,3894,13,3
SAN FRANCISCO ,836620,286,1026,107,5592,19,5
SAN FRANCISCO ,836620,286,1026,108,4578,15,4
SAN FRANCISCO ,836620,286,1026,109,4320,15,4
SAN FRANCISCO ,836620,286,1026,110,4827,16,4
SAN FRANCISCO ,836620,286,1026,111,5164,18,5
SAN FRANCISCO ,836620,286,1026,112,3286,11,3
SAN FRANCISCO ,836620,286,1026,113,3143,10,3
SAN FRANCISCO ,836620,286,1026,117,1783,6,1
SAN FRANCISCO ,836620,286,1026,118,1500,5,1
SAN FRANCISCO ,836620,286,1026,119.01,2408,8,2
SAN FRANCISCO ,836620,286,1026,119.02,2598,9,2
SAN FRANCISCO ,836620,286,1026,120,3833,13,3
SAN FRANCISCO ,836620,286,1026,121,3833,13,3
SAN FRANCISCO ,836620,286,1026,122.01,4567,15,4
SAN FRANCISCO ,836620,286,1026,122.02,2986,10,2
SAN FRANCISCO ,836620,286,1026,123.01,2734,9,2
SAN FRANCISCO ,836620,286,1026,123.02,3073,10,2
SAN FRANCISCO ,836620,286,1026,124.01,5075,17,4
SAN FRANCISCO ,836620,286,1026,124.02,3974,13,3
SAN FRANCISCO ,836620,286,1026,125.01,5335,18,5
SAN FRANCISCO ,836620,286,1026,125.02,3821,13,3
SAN FRANCISCO ,836620,286,1026,126.01,2329,8,2
SAN FRANCISCO ,836620,286,1026,126.02,2909,10,2
SAN FRANCISCO ,836620,286,1026,127,3492,12,3
SAN FRANCISCO ,836620,286,1026,128,4106,14,3
SAN FRANCISCO ,836620,286,1026,129.01,2557,8,2
SAN FRANCISCO ,836620,286,1026,129.02,3376,11,3
SAN FRANCISCO ,836620,286,1026,130,4044,14,3
SAN FRANCISCO ,836620,286,1026,131.01,3811,13,3
SAN FRANCISCO ,836620,286,1026,131.02,2625,9,2
SAN FRANCISCO ,836620,286,1026,132,4162,14,4
SAN FRANCISCO ,836620,286,1026,133,4232,14,4
SAN FRANCISCO ,836620,286,1026,134,3599,12,3
SAN FRANCISCO ,836620,286,1026,135,2556,8,2
SAN FRANCISCO ,836620,286,1026,151,2493,8,2
SAN FRANCISCO ,836620,286,1026,152,3934,13,3
SAN FRANCISCO ,836620,286,1026,153,2040,7,1
SAN FRANCISCO ,836620,286,1026,154,5621,19,5
SAN FRANCISCO ,836620,286,1026,155,3622,12,3
SAN FRANCISCO ,836620,286,1026,156,2728,9,2
SAN FRANCISCO ,836620,286,1026,157,7832,27,7
SAN FRANCISCO ,836620,286,1026,158.01,3594,12,3
SAN FRANCISCO ,836620,286,1026,158.02,2965,10,2
SAN FRANCISCO ,836620,286,1026,159,4350,15,4
SAN FRANCISCO ,836620,286,1026,160,2465,8,2
SAN FRANCISCO ,836620,286,1026,161,5366,18,5
SAN FRANCISCO ,836620,286,1026,162,2541,8,2
SAN FRANCISCO ,836620,286,1026,163,4293,14,4
SAN FRANCISCO ,836620,286,1026,164,3778,13,3
SAN FRANCISCO ,836620,286,1026,165,5083,17,4
SAN FRANCISCO ,836620,286,1026,166,5069,17,4
SAN FRANCISCO ,836620,286,1026,167,4652,16,4
SAN FRANCISCO ,836620,286,1026,168.01,3218,11,3
SAN FRANCISCO ,836620,286,1026,168.02,3264,11,3
SAN FRANCISCO ,836620,286,1026,169,2924,10,2
SAN FRANCISCO ,836620,286,1026,170,3689,12,3
SAN FRANCISCO ,836620,286,1026,171.01,3544,12,3
SAN FRANCISCO ,836620,286,1026,171.02,3451,12,3
SAN FRANCISCO ,836620,286,1026,176.01,7630,26,7
SAN FRANCISCO ,836620,286,1026,177,2128,7,2
SAN FRANCISCO ,836620,286,1026,178.01,3499,12,3
SAN FRANCISCO ,836620,286,1026,178.02,4516,15,4
SAN FRANCISCO ,836620,286,1026,179.02,2880,10,2
SAN FRANCISCO ,836620,286,1026,180,4221,14,4
SAN FRANCISCO ,836620,286,1026,201,6172,21,6
SAN FRANCISCO ,836620,286,1026,202,6269,21,6
SAN FRANCISCO ,836620,286,1026,203,3034,10,2
SAN FRANCISCO ,836620,286,1026,204.01,2846,9,2
SAN FRANCISCO ,836620,286,1026,204.02,3997,13,3
SAN FRANCISCO ,836620,286,1026,205,2583,9,2
SAN FRANCISCO ,836620,286,1026,206,4711,16,4
SAN FRANCISCO ,836620,286,1026,207,5171,18,5
SAN FRANCISCO ,836620,286,1026,208,6577,22,6
SAN FRANCISCO ,836620,286,1026,209,4372,15,4
SAN FRANCISCO ,836620,286,1026,210,4196,14,4
SAN FRANCISCO ,836620,286,1026,211,3853,13,3
SAN FRANCISCO ,836620,286,1026,212,2779,9,2
SAN FRANCISCO ,836620,286,1026,213,2474,8,2
SAN FRANCISCO ,836620,286,1026,214,3264,11,3
SAN FRANCISCO ,836620,286,1026,215,5096,17,4
SAN FRANCISCO ,836620,286,1026,216,3836,13,3
SAN FRANCISCO ,836620,286,1026,217,3948,13,3
SAN FRANCISCO ,836620,286,1026,218,3840,13,3
SAN FRANCISCO ,836620,286,1026,226,1534,5,1
SAN FRANCISCO ,836620,286,1026,227.02,2060,7,2
SAN FRANCISCO ,836620,286,1026,227.04,3122,10,3
SAN FRANCISCO ,836620,286,1026,228.01,5078,17,4
SAN FRANCISCO ,836620,286,1026,228.02,2099,7,2
SAN FRANCISCO ,836620,286,1026,228.03,4595,16,4
SAN FRANCISCO ,836620,286,1026,229.01,4640,16,4
SAN FRANCISCO ,836620,286,1026,229.02,2617,9,2
SAN FRANCISCO ,836620,286,1026,229.03,3384,11,3
SAN FRANCISCO ,836620,286,1026,230.01,5216,18,5
SAN FRANCISCO ,836620,286,1026,230.03,4093,14,3
SAN FRANCISCO ,836620,286,1026,231.02,3478,12,3
SAN FRANCISCO ,836620,286,1026,231.03,3725,13,3
SAN FRANCISCO ,836620,286,1026,232,4582,16,4
SAN FRANCISCO ,836620,286,1026,233,2624,9,2
SAN FRANCISCO ,836620,286,1026,234,3660,12,3
SAN FRANCISCO ,836620,286,1026,251,3077,10,2
SAN FRANCISCO ,836620,286,1026,252,5369,18,5
SAN FRANCISCO ,836620,286,1026,253,4362,15,4
SAN FRANCISCO ,836620,286,1026,254.01,3404,11,3
SAN FRANCISCO ,836620,286,1026,254.02,2912,10,2
SAN FRANCISCO ,836620,286,1026,254.03,4267,14,4
SAN FRANCISCO ,836620,286,1026,255,8471,29,8
SAN FRANCISCO ,836620,286,1026,256,5618,19,5
SAN FRANCISCO ,836620,286,1026,257.01,4788,16,4
SAN FRANCISCO ,836620,286,1026,257.02,4665,16,4
SAN FRANCISCO ,836620,286,1026,258,1960,6,1
SAN FRANCISCO ,836620,286,1026,259,4261,14,4
SAN FRANCISCO ,836620,286,1026,260.01,5863,20,5
SAN FRANCISCO ,836620,286,1026,260.02,3544,12,3
SAN FRANCISCO ,836620,286,1026,260.03,4908,17,4
SAN FRANCISCO ,836620,286,1026,260.04,4315,15,4
SAN FRANCISCO ,836620,286,1026,261,6810,23,6
