GEOID10,censusTract,superVisorDistrict,superVisorDistrict2012,neighborhood
06075010100,10100,3,3,North Beach
06075010200,10200,2,2,Russian Hill
06075010300,10300,3,3,Russian Hill
06075010400,10400,3,3,North Beach
06075010500,10500,3,3,North Beach
06075010600,10600,3,3,North Beach
06075010700,10700,3,3,Chinatown
06075010800,10800,3,3,Nob Hill
06075010900,10900,3,3,Russian Hill
06075011000,11000,3,3,Nob Hill
06075011100,11100,3,3,Nob Hill
06075011200,11200,3,3,Nob Hill
06075011300,11300,3,3,Chinatown
06075011700,11700,3,3,Financial District
06075011800,11800,3,3,Chinatown
06075011901,11901,3,3,Nob Hill
06075011902,11902,3,3,Nob Hill
06075012000,12000,3,3,Downtown/Civic Center
06075012100,12100,3,3,Downtown/Civic Center
06075012201,12201,6,6,Downtown/Civic Center
06075012202,12202,6,6,Downtown/Civic Center
06075012301,12301,6,3,Downtown/Civic Center
06075012302,12302,6,3,Downtown/Civic Center
06075012401,12401,6,6,Downtown/Civic Center
06075012402,12402,6,6,Downtown/Civic Center
06075012501,12501,6,6,Downtown/Civic Center
06075012502,12502,6,6,Downtown/Civic Center
06075012601,12601,2,2,Marina
06075012602,12602,2,2,Marina
06075012700,12700,2,2,Marina
06075012800,12800,2,2,Marina
06075012901,12901,2,2,Marina
06075012902,12902,2,2,Marina
06075013000,13000,2,2,Marina
06075013101,13101,2,2,Pacific Heights
06075013102,13102,2,2,Pacific Heights
06075013200,13200,2,2,Pacific Heights
06075013300,13300,2,2,Presidio Heights
06075013400,13400,2,2,Pacific Heights
06075013500,13500,2,2,Pacific Heights
06075015100,15100,2,2,Western Addition
06075015200,15200,5,5,Western Addition
06075015300,15300,5,2,Western Addition
06075015400,15400,2,2,Presidio Heights
06075015500,15500,5,5,Western Addition
06075015600,15600,1,1,Inner Richmond
06075015700,15700,1,1,Inner Richmond
06075015801,15801,5,5,Western Addition
06075015802,15802,5,5,Western Addition
06075015900,15900,5,5,Western Addition
06075016000,16000,6,5,Downtown/Civic Center
06075016100,16100,5,5,Western Addition
06075016200,16200,6,5,Downtown/Civic Center
06075016300,16300,5,5,Western Addition
06075016400,16400,5,5,Western Addition
06075016500,16500,5,5,Haight Ashbury
06075016600,16600,5,5,Haight Ashbury
06075016700,16700,5,5,Haight Ashbury
06075016801,16801,8,5,Western Addition
06075016802,16802,5,5,Western Addition
06075016900,16900,8,8,Castro/Upper Market
06075017000,17000,8,8,Castro/Upper Market
06075017101,17101,5,5,Haight Ashbury
06075017102,17102,5,5,Haight Ashbury
