Alcohol,STORE,Street_Address,City,State,Zip_Code,Business_Start_Date,Business_Location,X,Y
0,STARBUCKS,251 GEARY ST,San Francisco,CA,94102,01/31/1999,"251 GEARY ST
San Francisco, CA 94102
(37.787472,,-122.407487)",37.787472,-122.407487
0,STARBUCKS,333 O'FARRELL ST,San Francisco,CA,94102,01/01/2003,"333 O FARRELL ST
San Francisco, CA 94102
(37.786069,,-122.410864)",37.786069,-122.410864
0,STARBUCKS,1899 UNION ST,San Francisco,CA,94123,03/03/1992,"1899 UNION ST
San Francisco, CA 94123
(37.797727,,-122.430569)",37.797727,-122.430569
0,STARBUCKS,2132 CHESTNUT ST,San Francisco,CA,94123,03/03/1992,"2132 CHESTNUT ST
San Francisco, CA 94123
(37.800517,,-122.438576)",37.800517,-122.438576
0,STARBUCKS,2222 FILLMORE ST,San Francisco,CA,94115,03/03/1992,"2222 FILLMORE ST
San Francisco, CA 94115
(37.790037,,-122.434077)",37.790037,-122.434077
0,STARBUCKS,343 SANSOME ST,San Francisco,CA,94104,03/03/1992,"343 SANSOME ST
San Francisco, CA 94104
(37.793616,,-122.401264)",37.793616,-122.401264
0,STARBUCKS,2163 POLK ST,San Francisco,CA,94109,03/03/1992,"2163 POLK ST
San Francisco, CA 94109
(37.796646,,-122.421931)",37.796646,-122.421931
0,STARBUCKS,369 PINE ST,San Francisco,CA,94104,03/03/1992,"369 PINE ST
San Francisco, CA 94104
(37.791961,,-122.402107)",37.791961,-122.402107
0,STARBUCKS,3995 24TH ST,San Francisco,CA,94114,03/03/1992,"3995 24TH ST
San Francisco, CA 94114
(37.75144,,-122.431781)",37.75144,-122.431781
0,STARBUCKS,74 NEW MONTGOMERY ST,San Francisco,CA,94105,03/03/1992,"74 NEW MONTGOMERY ST
San Francisco, CA 94105
(37.787848,,-122.401002)",37.787848,-122.401002
0,STARBUCKS,744 IRVING ST,San Francisco,CA,94122,03/03/1992,"744 IRVING ST
San Francisco, CA 94122
(37.76408,,-122.465451)",37.76408,-122.465451
0,STARBUCKS,264 KEARNY ST,San Francisco,CA,94108,03/03/1992,"264 KEARNY ST
San Francisco, CA 94108
(37.790531,,-122.40401)",37.790531,-122.40401
0,STARBUCKS,201 SPEAR ST,San Francisco,CA,94105,03/03/1992,"201 SPEAR ST
San Francisco, CA 94105
(37.790642,,-122.391688)",37.790642,-122.391688
0,STARBUCKS,120 4TH ST,San Francisco,CA,94103,03/03/1992,"120 4TH ST
San Francisco, CA 94103
(37.78425,,-122.403965)",37.78425,-122.403965
0,STARBUCKS,99 JACKSON ST,San Francisco,CA,94111,03/03/1992,"99 JACKSON ST
San Francisco, CA 94111
(37.79717,,-122.397775)",37.79717,-122.397775
0,STARBUCKS,3595 CALIFORNIA ST,San Francisco,CA,94111,03/03/1992,"3595 CALIFORNIA ST
San Francisco, CA 94111
(37.786394,,-122.453335)",37.786394,-122.453335
0,STARBUCKS,1750 DIVISADERO ST,San Francisco,CA,94115,03/03/1992,"1750 DIVISADERO ST
San Francisco, CA 94115
(37.785934,,-122.439978)",37.785934,-122.439978
